Item Name,Description
Intermediate Fishing Rod,A sturdy fishing rod reinforced with metal. It is an adequete tool for any fishing activities.
Mysterious Crate,Contained within the crate is the embodiment of the emotion one experiences when unboxing something exciting.
Festival Enjoyer Kensei,
Festival Enjoyer Bard,
Wand of the Fallen,Made from a cherry tree branch. This wand was gifted by Xil to Daichi for bringing him into this world.
Orb of Aether,This Orb creates a concentrated area of energy. The energy is so dense at its core that foes are paralyzed.
Jade Storm,"A grand scroll capable of summoning sharpened emerald shards, slicing through even the most durable opponent."
Kaiken,"Still believing himself a monk, Daichi knew an open blade contrasts his superficial rank. Yet he could not bear to abandon his wicked material weapon, and so he forever concealed it with this sheath."
Kazekiri,A Katana made to harness the energy of the Wind.
Ryu's Blade,Calls upon old energy to unleash a swarm of dragon like energy spirits.
Kamishimo,"While being made of soft fabric, this outfit is mysteriously sturdy."
Akuma's Tear,The first and last teardrop of the ominous fiery demon.
Possessed Lantern Pet Skin,
Coral Bow,A bow fashioned from living coral found only in the deepest ocean trenches. It is the favored weapon of those that inhabit the realms beneath the waves.
Coral Venom Trap,A trap imbued with deadly venom from the coral of the Ocean Trench.
Coral Silk Armor,Mermaid-made armor woven from unbreakable still living coral threads.
Coral Ring,A ring crafted from the dangerous Fire Coral.
Sharktooth Sigil,This necklace is adorned with the tooth of a great white shark. Druids who familiarize themselves with this item may take on its form becoming the apex of the seas.
Tideturner Trident,"A decorated forked weapon which can influence and control water, sending torrential downpours of calamity at aggressors."
Slurpian Sea Scroll,"An enchanted parchment, written in the Slurpian dialect. Its magic commands the tides, allowing one to propel their own movement."
Oceanic Apparel,"Woven together from the silk of the oceanic Deepstriders, this robe is completely resistant to the tides of the ocean. Such garments are commonplace for royal Slurp attire."
Imperial Keepsake,"As a memento of their kingdom, royal slurps are given one of these sacred pearls when adventuring out into the world."
Sea Slurp Skin Unlocker,
Ancient Stone Sword,A slow but powerful sword that is a relic of a long forgotten age.
Spiteful Scutum,A shield from a place beyond the gates of war and peace.
Cloak of the Mad God,A pitch black cloak enhanced by the defensive strength of Oryx’s own signature armor.
Theurgy Wand,Oryx’s so-called priests use cruel wands like this to inflict suffering on their recipients. They themselves must endure this pain to begin the path to consecration.
Ceremonial Merlot,"Those who wish to be hallowed among Oryx’s legion are required to drink the wretched concoction within this chalice, a mix between the Mad God’s poorly kept wine and his own sentient bile."
Anointed Robe,"Knowing they are to serve a more aggressive purpose on the front lines, Oryx’s chosen messengers utilize a plated robe, complete with a crimson cape."
Ring of Pagan Favor,"When the arduous path to anointment is complete, the priest is decorated with this symbolic ring of servitude, modeled after Oryx’s famed warriors."
Tome of Holy Furor,This tome was carried to battle by the members of a forgotten order.
Oryx's Greatsword,"Forged eons ago in the fires of Shaitan’s domain, this infamous blade has cut down countless mighty heroes throughout the ages."
Champion's Bastion,"This almighty shield was specially designed to protect its owner from a bombardment of attacks in all directions. Although feared today, it once stood as a reminder of Oryx’s glory in an era long forgotten."
Mercy's Bane,Skuld enchanted this signature armor by channeling Oryx’s relentless rage into its metal plates. This aura of anger now grants the strength of unbridled fury to anyone reckless enough to wear it themselves.
Bloodstone Ring,It is believed that Oryx siphons a drop of blood from each hero he slays for use in this intimidating crimson ring.
Superior,"This aptly named staff is the manifestation of Chancellor Dammah’s assertions of grandeur. Although he seldom uses it for actual combat purposes, it is no less potent as a legitimate weapon."
Genesis Spell,"Dammah’s powers of summoning portals stem from this profane spell. Most may use it to call attacks from primitive dimensions of untapped energy, but Oryx’s greatest thaumaturges can create stable gateways to the realm and beyond."
Diplomatic Robe,The diplomacy of Chancellor Dammah goes as far as his limited patience. The true purpose of this robe is its deeply woven enchantment to bolster arcane powers.
Chancellor's Cranium,The warped mind of Oryx’s appointed chancellor. This cursed object thrives in the presence of demented energies.
Avarice,"The pride of Treasurer Gemsbok, this gilded knife has backstabbed countless traders in shady dealings."
Gambler's Fate,A coin pilfered from the endless vault of Gemsbok’s hoarded wealth. Only the most daring would stake their lives on the equal odds of a coin flip.
Turncoat Cape,This covering is assigned to Oryx’s negotiators to conceal weaponry and get away with stolen fortunes.
Collector's Monocle,Treasurer Gemsbok had this monocle custom made to enhance his perception in stealth strikes.
Lumiaire,This ceremonial mace controls the forces of light and darkness. Archbishop Leucoryx uses it for distinguished offerings in the name of his god.
Chaotic Scripture,"The sacred writings of Leucoryx and his disciples, compiled as a tribute to Oryx to lend false credence to the teachings of his twisted followers."
Vesture of Duality,"This cursed robe overwhelms the wearer with conflicting thoughts of good and evil, shattering the will of the weak-minded."
Divine Coronation,"A majestic crown of the venerated, bestowed upon Archbishop Leucoryx to solidify his position in Oryx’s legion."
Enforcer,Chief Beisa designed and forged this sawtoothed blade himself to be granted admission as a gladiator. Its shattering strikes are amplified by his own slashing techniques.
Ballistic Star,"To dominate the battlefield, Beisa’s assault units possess this star model to remain vigorous in combat before controlling zones with its independent throwing arcs."
Centaur's Shielding,Specially weighted plates layered inside this armor channel greater force into every motion of the body for destructive blows.
Battalion Banner,"The battle standard of Beisa’s forces, a sign of triumph for Oryx and calamity for those he faces."
Divinity,"The chosen blade of Oryx the Mad God, charged with an unrelenting energy to subdue all that lies before it."
Oryx's Escutcheon,"An enormous shield decorated with the crest of Oryx, an infamous symbol of oppression dreaded across the realm."
Gladiator Guard,"Although refurbished, this breastplate is the very same Oryx received as a gift from the royal family in celebration of his gladiatorial prowess."
Exalted God's Horn,A horn claimed from Oryx’s iconic helmet. To hold this in one’s hand is a monumental insult to the Mad God’s ego.
Harmonious Harp,A delightful instrument played among the serene choirs of saintly singers in the hallowed realms above.
Angel's Fanfare,"A resplendent trumpet used to signify the coming of the end times, prophesied to sound their most glorious note at the opening of the seventh seal."
Wings of Sanctity,A breathtaking pair of delicate white wings used by the empyrean seraphim to reach the highest peaks of the heavens.
Heavenly Halo,A ring of light bestowed upon the virtuous as a divine symbol of their consecration.
Maw of Malignance,"Deep within the blood, cartilage, and twisted bone lies the cranium of a once-human victim."
Recurring Terror Spell,"Believed to have been lost in a bygone era, this spell was recovered from ruins infested by horrific creatures of unknown origin. The scroll is still steeped with parasitic organisms."
Scepter of Devastation,A loathsome scepter that converges the life energy of parasites into a soul-rotting bolt of destruction.
Tome of Pain,"An ancient tome covered with fleshy appendages. It contains the secrets to magic often considered blasphemous by priests, used to inflict horrible pain on others."
Symbiotic Ripper,The melding of these creatures and their host is one of pain and suffering.
Parasitic Concoction,"Swarming cells fill this jar, prepared to bind to whatever may foolishly approach them."
Rags of the Host,"The parasites wait until the most opportune time, then strike at their targets. They become hosts to a greater evil."
Hivemind Circlet,The parasites are not individual beings; they share a single consciousness.
Marionette Ravager,The perfect tool for dismembering theatre equipment.
Prism of Dancing Swords,This prism has a deep flaw that causes it to scatter light in two directions.
Harlequin Armor,"A festive piece of armor, complete with bells. Try not to get too crazy."
Magic Wand,"The classic kit of a magician, built to both dazzle and destroy one’s enemies."
Lightshow Scepter,This enchanted cane adds pizzazz to any battle! The cleverly engineered lighting effects inside become stronger for a bigger audience.
Magician's Robe,"Filled with all the necessary tools of showmanship, this dapper robe is a must-have for any true magician."
Performer's Hat,"A classy top hat known to have all manner of surprises in store, including rabbits, of course."
Puppet Master Skin,
Jester Skin,
Thousand Shot,"A deadly repeater crossbow and a marvel of craftsmanship. This mechanical weapon is efficient, but carries additional weight."
Prism of Dire Instability,"Seemingly bleak at first, this prism has erratic magical properties looming inside, which affect the light it scatters in unforeseen ways."
Jaco Pet Skin,
Tlatoani's Shroud,"The Tlatoani used this robe to aid them in casting their most powerful magic spells. Like their other ceremonial garbs, it rarely saw much combat application."
Tezcacoatl's Tail,"Adult male basilisks are apex predators, and at full maturity their tails gain the unique ability to release piercing acid from the tip."
Sealed Crystal Skull,"An undamaged version of a well known archaeological artifact, radiating a potent dark energy. This rare find is coveted by many explorers."
Penetrating Blast Spell,This spell’s destructive power is so notorious that casting it was banned for many generations.
Reikoku,"First summer storm cloud Inflicting a thousand cuts Brilliance, then ash."
Daybreak Chakram,Circle of sunlight Empowers a fragile bloom And scours the world.
Hirejou Tenne,Scarf held to the breeze Commanding a storm’s vengeance Hoping for silence.
Heavenly Magatama,Spiraling treasure Prayer beads for the downpour Coiled in grateful hands.
Good Mask Spirit Pet Skin,
Evil Mask Spirit Pet Skin,
Snakeskin Shield,A shield made of snake skin stretched across a rigid frame.
Wand of the Bulwark,This strange weapon was used by ancient battle mages to deter invaders. The secret to its construction has long been lost.
Snake Charmer Pungi,"A ceremonial pungi that contains the spirits of fifteen snakes, guiding the righteous through their many paths ahead."
Snakeskin Armor,A tight fitting garment of snake skin that is both functional and stylish.
Snake Eye Ring,A ring made from the eye of the Snake Queen.
Mini Stheno Skin,
Mini Flying Stheno Pet Skin,
Tools of the Tarnished,"Two of Groundskeeper Gretch’s most coveted tools, tainted by a powerful curse that draws out the life essence of its user to maintain their finesse."
Wretched Rags,"A tattered piece of cloth crudely fashioned into a robe, barely capable of covering its wearer. However, what it lacks in physical durability is made up with a thick barrier of mana."
Sinister Syringes,"A chilling metal container filled with miscellaneous medical instruments coated in poison. Its syringes require blood as a catalyst, taking a considerable toll on both victim and user alike."
Cackling Straitjacket,"A tightly-woven garment used to restrain the mentally insane in the Penitentiary’s torture branch. The echoed laughs of its past users can be faintly heard while wearing it, and intensify as its wearer takes damage."
Command Cornea,"The incredibly thick cornea taken from the eye of Overseer Oculon. It bears an immense hunger for magical energy, and will devour its user’s entire mana pool in the blink of an eye."
Ocular Entrapment,A questionably sentient artifact smuggled from the Penitentiary’s administration branch. Repeatedly irritating the summoned entity causes it to spew corrosive tears in a large area.
Overwhelming Axehead,"An extremely heavy axehead salvaged from Griefkeeper Zole’s rather bulky choice of weaponry. Throwing it takes a tremendous amount of effort, but it has the capacity to obliterate everything in its path."
Motivational Megaphone,"A faintly magical device used by Griefkeeper Zole to amplify his own voice throughout the Penitentiary’s cell branch. Peculiarly, speaking into it warps any attempts at encouragement into toxic insults."
Damnation,"An uncannily heavy iron ball and chain utilized by Murcian himself, burdened by the weight of countless souls that met their fate at the hands of the warden."
Vial of Soul Extract,"A luminescent vial containing an eerie liquid, extracted through the complete pulverization of a soul."
Penitent Frog Pet Skin,
Staff of Extreme Prejudice,Once the most powerful staff in existence; a crack in its frame has rendered it incapable of focusing fire. It remains uniquely deadly.
Cloak of the Planewalker,An enchanted cloak crafted by an ancient guild of timeshifter thieves.
Mace of the Celestial Forest,"Limon’s power of nature restoration are infused into this mace for her children to wield, traversing the realm and planting seeds of new life in the wake of wanton destruction."
Sprite Wand,"A wand created from the wood of Sprite trees. Seems to be poorly calibrated, though."
Mini Limon Pet Skin,
Sprite Star Pet Skin,
Sulfuric Stone,"A peculiarly weathered rock with runes burned into it from generations of being submurged in the acidic bog. This makeshift snare is unmatched in power, but it activates on its own terms."
Bogwood Crook,This ornate herding staff composed of an old willow branch has been warped beyond mortal comprehension due to prolonged influence of the twisted beings of the Sulfurous Wetlands.
Brambletooth Tachi,"A heavily serrated blade set studded with thorns from the many ravenous plants of the Sulfurous Wetlands. The accursed magic used to mutate the native flora has been likewise imbued to these blades, enabling for a unique yet precise slashing technique."
Warped Mantle,"A sickly piece of armor, grown from the twisted bark from one of the few remaining Ent Ancients that still populate the Sulfurous Wetlands."
Thistleleaf Necklace,"This necklace once signified the everlasting bond between two people. As if alive, this necklace carries with it an aura of spite and anguish."
Swamped Panda Pet Skin,
Bogged Panda Pet Skin,
Silken Sigil,"A live spiderling with a string formed of its own silk, a druid may befriend it to gain increased familiarity with the form of a spider, a traditionally hard form to undertake."
Spider Silk Bow,A well-crafted bow made from the hardened spider exoskeletons and their powerful silk.
Doku No Ken,"Stuck in the maw of the Son of Arachna, this Katana is coated in the creature’s poisonous venom. In the hands of the right person, this is a truly deadly weapon."
Mace of the Depths,"This formerly ordinary mace was twisted by Arachna’s son after plucking it from a hapless victim. Though he has no reason to use it himself, some believe the Son of Arachna keeps it as reminder to his kin to not cross him as he did his mother."
Blue Beehemoth Armor,"Chitin armor fashioned from the exoskeleton of a blue Beehemoth. Ultra-light and extremely flexible, yet surprisingly tough."
Red Beehemoth Armor,"Chitin armor fashioned from the exoskeleton of a red Beehemoth. Ultra-light and extremely flexible, yet surprisingly tough."
Yellow Beehemoth Armor,"Chitin armor fashioned from the exoskeleton of a yellow Beehemoth. Ultra-light and extremely flexible, yet surprisingly tough."
Queen's Stinger,"The blade of this dagger was once the enormous Killer Bee Queen’s stinger. It remains exceptionally sharp, and could easily cut through even the heaviest of armor in a single strike."
Combcutter Kunai,"Shaped from the stingers of mutant beehemoths, these blades are sealed away until the very moment of combat and brandished by the finest of shinobee."
Swarmlord's Sigil,"Fashioned by the Beekeeper, this pendant allows the wearer to command the forces of the nest directing swarms of bees to attack the wearer’s enemies."
Hivemaster Helm,A nefarious helm combining pheromones and Killer Honey to captivate Killer Bees into servitude.
Hivemind Mace,"The guiding power of the realm’s pollenating drones. Even when stolen from their proper queen, it can still briefly influence their minds to service."
Beekeeper's Flamethrower,"Equipped with a mechanical combustion technology few may understand, this weapon projects flames boasting temperatures capable of melting their target before they’re able to retaliate."
Nectar Crossfire,A flexible ironwax bow created by the Felwasp Guards to defend their larvae from assailants.
Honeytomb Snare,A strange trap that subdues would-be pilferers with a torrent of sticky honey.
Apiary Armor,"Lightweight, yet protective armor taken from the shed exoskeleton of a warrior bee."
Honey Circlet,The solid honey on this ring renews its wearer with incredible energy.
Killer Bee Queen Pet Skin,
Green Beehemoth Armor,"Chitin armor fashioned from the exoskeleton of a Green Beehemoth. Ultra-light and extremely flexible, yet surprisingly tough."
Green Beehemoth Quiver,"A quiver crafted from the remains of a green Beehemoth, filled with razor-sharp arrows fashioned from Killer Bee stingers."
Royal Guard's Cuirass,"Armor of the bridge sentinel, adorned with honors which now serve only as a bitter reminder of what once was."
Valor,"Exceedingly large and challenging to handle, this titanic blade embodies the stoic might of its true owner."
Vanguard's Visage,"A dreadfully heavy barbute, prominently featuring inward curving horns. Such a trait has been considered taboo for eons, further marking the age of this design."
Sentinel's Sidearm,"Use of magical weapons is typically reserved for the king’s mage units. For a swordsman to receive such a fine piece of craft was considered a great honor, and perhaps still is."
Bracer of the Guardian,"A colossal gauntlet of masterful composition. Its sheer size is disproportionate for most warriors, only able to be worn on one’s forearm as a bracer. A once glossy exterior faded from battle long ago, yet the sturdiness of its make is as resolute as it ever was."
Vest of Abandoned Shadows,"Formerly a nobleman’s uniform, now workshopped by the court magician into a gloomy coat befitting of his accursed company."
Dusky Catalyst,"An untempered casting wand brought forth to tap into distant powers, but an imbalance rendered it too unreliable for most to dare use."
Primal Arcana,"This deeply profaned magitech haunts those who bear it with distant, unending screams. One’s conscience must be far beyond all reason to use its tremendous and varied powers without vacillation."
Polarity Poison,"A perfectly concentrated blend of elemental forces, primed to diverge into an explosive result if the seal is ever broken. This flawless balance is believed to be the key to a still greater power."
The Twilight Gemstone,"A peculiar stone, tremendously heavy for its size and seemingly not of this world. Its very presence in the realm raises a great deal more questions than answers, yet the uncanny energy it emanates provides only one haunting clue."
Mantle of the Monarchy,"The lavish robes of the kingdom’s royalty, outfitted with pauldrons on both shoulders for a more distinguished appearance. A sinister presence remains channeled through the draping fabric."
Warmonger,"Rarely brandished and in pristine condition, the old monarchy deemed this exquisite recurve too dignified for all but royalty to handle. Though it remains unproven in practical combat, this bow’s raw potential is unmatched, waiting to be drawn out through pure focus."
Peacekeeper,"A veritable artifact from the forgotten splendor of a kingdom none wish to remember. No matter the craftsmanship of its gilded design, this unwelcome sight is now only a sobering reminder of a mistake without regret."
Noble Mandolin,"Endless melodies from this fine instrument once filled the halls of the castle. It is without any apparent wear, yet even the most upbeat tune sounds somber when it is played."
The Forgotten Crown,An eerie reminder of what lays in the depths of the Shatters.
The Forgotten Ring,"Part of a sacramental rite, the memory of which has faded with those who observed its divine grace."
Chrysalis of Eternity,"As the nameless monarch sat malcontent upon the throne, his ambitions and impiety became one, and with this came enlightenment. A legacy reduced to less than legend, utterly erased from the nescient minds of the land, with its only epitaph being the sorry remnant of his majesty’s dearest. After all, what good are kings in a realm of gods?"
Corruption Tether,"This transmogrified crook bolsters the ability to peer into pocket dimensions and cling to the essence within. Such a characteristic arguably makes the staff itself sentient, a harrowing trait for the tool which gave the Shattered Kingdom its name."
Ancient Eminence,"A cryptic scroll from the castle archives, unlike anything else in the forsaken collection. Only with supreme occult power may one harness the equalized power of the immortal elements, a technique long attributed to mere legend."
Twilight Shroud,"On simple observation, this robe appears unremarkably standard for the dressings of the court magician. But perhaps this attribute is all too emblematic of kingdom’s folly."
Defiled Equilibrium,"An unsettling glow looms beneath the partitioned gem’s surface, ever-changing yet always in immaculate balance. Soon enough its power may be unleashed again."
Archangel's Judgement,The eldest of Daeva warriors crafted this sacred weapon to smite all that dare oppose the forces of the light.
Daevite Progenitor,"A glorious artifact, bestowed upon mortals from Daeva warriors. Emulating their altruistic goals, this prism can forge countless fighters from the pure lights of the heavens."
Seraphim's Guard,"These garments have been meticulously crafted over the millennia to serve the Daeva, helping them ward off and fight against the ever burning forces of darkness."
Flames of Genesis,"A mere flame from the legendary forgefire used by Daeva master crafters, this trinket grants awe-inspiring powers to those deemed worthy."
Fallen One's Blade,This cryptic blade has been forged from beligerent energies of the great beyond. Wielding it twists mortal comprehension of right and wrong.
Abyssal Insignia,"A mystifying sigil from an otherwordly domain. The power sealed within causes it to faintly pull at its surroundings, attempting to draw them into the void."
Vortex Plating,"The individual plates of this armor shift constantly in and out of realms under the Void’s influence. The few mortals that have found, let alone are able to wear this cursed armor become entranced in protective and destructive forces."
Eye of the Void,"Though lacking physical form, this trinket grants a sense of sight that allows beings from the realm of shadow to peer into the worlds bathed in light."
Sentinel Watchdog Skin,
Shadow Stormbird Pet Skin,
Royal Void Cat Pet Skin,
The Right Hook,"A famous boxer once said the secret to their victory was having a great right hook, this dagger’s craftsman took that literally."
Tipsy Topper,"This stylish felt cap has found itself at the helm of many tavern brawls, and atop the heads of many poor decision makers."
Double Vision Darts,"A finely crafted leather bound quiver containing many small darts. The reduced size of the arrows in this quiver allow a specific firing pattern, confusing their target as if they were seeing double."
Cask Corslet,"A cobbled together suit of armor made from a beer barrel, while lacking in real defensive properties, its alcoholic aura numbs the wearer’s pain against attacks."
Brewer's Bangle,A small golden band meant to be worn on one’s ear. This mundane looking accessory appears to give the wearer an increased tolerance to intoxicants.
Shadow Serpent Sidearm,"An angular wakizashi crafted from the core of the Shadow Cube God. In spite of the narrow blade, it can unleash quite a devastating onslaught."
Cloak of Cubic Enigma,"A bulky cloak ill-suited for stealth, but can provide the wearer with great offensive capabilities."
Seal of Cubic Conundra,"A seal granting the user access to other dimensions, though the means by which this is accomplished are unknown."
Squaroid Staff,A radiant staff with a square-shaped conduit at its edge. Only the most prestigious of cuboid monarchs are allowed to wield such a weapon.
Cubic Frame,The angular remains of a cube. It can be temporarily resurrected through the dark arts.
Polygonal Garbs,"These garbs aren’t fitted for humans, making them quite uncomfortable. However, the protective properties it bestows upon the wearer are invaluable."
Cuband,"Fitted with a cube shaped crystal, this band is capable of mitigating harm to the wearer."
Ring of the Pyramid,The dolomite stone makes you feel able to stand against anything.
Ring of the Sphinx,The malachite stone makes you feel at peace with the land.
Ring of the Nile,The azure stone makes you feel ready for any situation.
Tome of Holy Protection,A tome dedicated to the works of a forgotten god. It is written in a strange script that glows with a pure white light.
Pharaoh's Requiem,"An unusually crafted lute with an ancient style of construction, meant to produce soothing sounds of deep sleep and keep wrathful gods dormant."
Wand of Geb,"Despite their normal pacificity, priests of Geb were able to protect themselves from aggressors."
Book of Geb,"Within, the priests of the past have catalogued the story and knowledge of Geb."
Shendyt of Geb,A ceremonial garment worn by those who worship the god Geb.
Geb's Ring of Wisdom,It is said that the ring attunes its wearer to the earth and its life force.
Mini Nut Archer Skin,
Mini Geb Skin,
Bes' Artifact,
Nut's Artifact,
Geb's Artifact,
Tomb Snake Skin Unlocker,
Void Blade,An astronomically heavy katana. It is forged from dark matter.
Murky Toxin,A deadly substance concocted with ingredients found in the sewers.
Toxin Tooth,"An appalling dagger with a blade forged of a highly resilient metal, one of the very few materials that can withstand the corrosive properties surrounding it."
Virulent Venom,Exposure to this ferocious concoction is so intensely lethal that it acts instantaneously. Its deceptively small vial allows for easy use.
Acidic Armor,A specially coated armor designed with the intent of nullifying illnesses. It is most beneficial when used in tandem with equipment of similar attributes.
Pernicious Peridot,"A cursed gemstone imbued with numerous plagues. While unfavorable to one’s stamina, it proves itself useful with the associated resistances."
Slurp Knight Skin,
Turtle Pet Skin,
Doom Bow,No mortal can fire this dreaded bow without resting in between shots. It requires tremendous skill to wield.
Spectral Sword,This ghastly blade has the power to emit waves of energy that dance like wraiths in the dark.
Wandering Souls Spell,"Shaping raw magic into spirit-like forms, phantasmal projectiles are launched, each one homing in on the target
with the precision of a well trained archer."
Ring of Skeletal Specters,A ghastly ring that calls upon the eager hands of an impossible undead creature.
Edictum Praetoris,"My staff led me to a strange arena, which seemed to have a dark aura about it."
Toga Picta,"His gift was gracious, but I would not dabble in spirits. He challenged me to a duel."
Memento Mori,I found a great spectre floating above me. He reached out and granted me his cranium.
Interregnum,"Our fight was glorious, but in the end, I fell in battle and joined him in undeath."
Possessed Staff Pet Skin,
Spirit's Bane,A strange ectoplasmic concoction that can inflict its blight on living and etheral alike.
Bow of the Morning Star,A bow of light forged by the angels for use in their eternal struggle against darkness and evil.
Leaf Bow,"Fashioned from the finest logs found within the Woodland Labyrinths, this bow uses sharp leaves instead of conventional arrows. Such lightweight ammunition allows for quick movement."
Elder Heartwood Staff,"Carved from the heartwood of an ancient tree and imbued with the whispering spirits of the forest, this staff channels centuries of wisdom."
Wakizashi of Eastern Winds,A wakizashi used by a powerful swordsman in ancient times. It seems to dance through the air as you swing it.
Labyrinth Dweller's Sheath,"The Woodland Labyrinth is a lamentable example of mortal meddling in the ways of nature, a harsh reality its occupants are keenly aware of. A sheath like this, fully embracing their own ways of life, is no doubt a bitter expression of dissent."
Woodland Huntress Skin,
Blessed Blade Pet Skin,
Corsair Ring,A lavish golden ring adorned with a prized ruby from Dreadstump’s spoils.
Scallywag Slurp Pet Skin,
Bramble Bow,"A prickly bow with unshaven thorns jutting out from the grip, making it unwieldy to fire."
Cocoon Quiver,A silky case of arrows woven by Mama Megamoth’s larvae for use by her woodland warriors.
Sapling Buddy Pet Skin,
Poison Fang Dagger,A dagger fashioned from the fang of an enormous spider.
Spider Shuriken,An arachnid star which slings silk to tangle predators while granting oneself the speed and stamina of Arachna’s most agile young.
Spider's Eye Ring,A ring crafted from the faceted eye of an enormous spider.
Eggshell Spider Pet Skin,
Staff of the Crystal Serpent,An ancient staff used both for sacrifice and communion with the gods.
Cracked Crystal Skull,A relic uncovered from the depths of the jungle. It exudes a deep darkness.
Robe of the Tlatoani,A ceremonial robe once worn by the Tlatoani.
Crystal Bone Ring,A ring made from a splinter of crystallized sacrificial bone.
Baby Basilisk Pet Skin,
Orb of Sweet Demise,A magical honeycomb that was once crucial in repelling an assault from the Hornet Rebellion.
Honey Scepter,"Stolen from the Queen Bee herself, this scepter possesses the power to destroy evil."
Barnacle Basher,An extraordinarily dense silversteel anchor attached to a magical kelpwoven chain. Whatever ship it was attached to has long since been dragged to the depths.
Yellow Beehemoth Quiver,"A quiver crafted from the remains of a yellow Beehemoth, filled with razor-sharp arrows fashioned from Killer Bee stingers."
Red Beehemoth Quiver,"A quiver crafted from the remains of a red Beehemoth, filled with razor-sharp arrows fashioned from Killer Bee stingers."
Blue Beehemoth Quiver,"A quiver crafted from the remains of a blue Beehemoth, filled with razor-sharp arrows fashioned from Killer Bee stingers."
Cloak of Bloody Surprises,Many Rogues have tried to use this to escape their asylum. All have failed.
Crystallised Fang's Venom,"Even in small amounts, this potent venom is capable of corroding the armor of its victims."
Dirk of Cronus,This legendary dagger was commissioned by a band of mad rogues to prove the worth of the Dirk.
Hama Yumi,This longbow has protected the mountain shrines for centuries in the hands of countless legendary archers. The hail of arrows it fires is said to purify wretched spirits of corruption.
Helm of the Juggernaut,This helm was forged of metal that fell from the sky. It is strangely light and emits a faint hum.
Jailer's Scythe,A weapon used by Skuld’s soul collectors to absorb and send souls to their final destinations.
Kageboshi,"Imbued with haunting energies of a foreign rite, the layered blade of this shadowy tool is never finished with its victim."
Orb of Conflict,This orb of ancient bloodstone has a dark reputation of twisting those who wield it.
Quiver of Thunder,This strange quiver was created in a forgotten age by a lost tribe of Dark Elves.
Ray Katana,A great katana charged with the power of the sun itself.
Seal of Blasphemous Prayer,"A seal that is said to briefly borrow the power of the Gods themselves. Some Paladins shun its dark power, others embrace it."
Shield of Ogmur,This massive shield was created for the wealthy and powerful Ogre kings as a sign of their unrivaled strength.
Tablet of the King's Avatar,"Thought to have been lost to the ages, the wisdom imparted in this tablet will summon a power unrivaled by any modern spell."
Token of Warmth,"An aged coin of unfamiliar design, gently glowing with the spirits of warmth. This seemingly modest keepsake puts your mind at ease, mending your wounds."
Token of Happiness,"An aged coin of unfamiliar design, gently glowing with the spirits of happiness. This seemingly modest keepsake invigorates you body, readying you for the next move."
Trap of the Vile Spirit,"A long lost artifact recovered by Davy Jones, believed to have been cursed by the gods of the seven seas themselves."
Mighty Stein,A mighty mug for a mighty drink! Be merry! Sprite Credits: Dappertron
Deadly Keg,"A barrel filled to the brim with the cheapest ale money can buy. The cask is highly pressurized and must be handled with care, should it be dropped it is likely to explode violently."
Greaterhosen,A necessary component for any beer-drinking or sausage-eating in the month of October. Sprite Credits: Dappertron
Crystal Sword,A lightweight blade that seems to dance in your hands.
Crystal Wand,A sound almost like a wind chime emanates softly from this wand.
Adventurer's Scarf,"A faithful and comfortable scarf that has witnessed countless journeys. Imbued with a protective enchantment, it allows its wearer to gracefully weave through perilous situations."
Torrential Staff,"A majestic trident adorned with enchanted coral formations that enables command of the tides. Once wielded by King Alexander in his conquest of the oceans, its power has since faded with each passing moon from natural weathering."
Celestial Recurve,"A wondrous bow of heavenly origin, harnessing Daevic magic to bend and concentrate light into tangible projectiles. At the point where these beams intersect, a dazzling burst of celestial brilliance radiates."
Mace of the Pumpkin Effigy,A sinister twist on the scarecrow’s intended use. Totalia bewitched these cursed figures with an uncanny allure to enthral victims into their untimely demise.
Pirate's Artillery,"Although cannons were once typically associated with naval warfare, many pirates now regard Bilgewater’s application of them in land-based combat as revolutionary."
Skull of Restless Souls,An unnaturally pristine skull adorned with a crown of thorns. Various parts of this once holy figure continue to be worshipped as sacred relics post-mortem as they bestow graces and miracles through the traces of divine power abiding within.
Doom's Emblem,An accursed sigil that beckons to one’s inner demons. Unholy paladins can unleash their dormant latent potential by forming a pact with an otherworldly force through a tribute of their own flesh and blood.
Cavalry Lance,"A resplendent, gilded lance once wielded by a legendary horseback rider of yore during the great Draconic Cataclysm. Its formidable reach could slay monstrous dragons with seemingly impenetrable bodies by impaling their deeply buried hearts."
Cloak of the Deep,An enchanting cloak that conceals its wearer in a veil of iridescent bubbles. The shimmering cascade of bubbles serves as the only lifeline within the sea’s deepest hadal trenches.
Evolutionary Records,"An ancient volume recording ancestral lineages dating as far back as the Primal Era. Infused with the essence of druidic magic, it grants the power to delve into nature’s eternal transformation, morphing its caster into formidable creatures."
Pollen Incendiary,"A diabolical fusion of magic and chemical warfare engineered by Dr. Terrible in his effort to subjugate the Nest. When unleashed, it triggers a cataclysmic chain reaction between the charged volatile pollen that engulfs the air in a blinding and roaring inferno."
Bloodbath Blade,"A malevolent katana infested with parasitic organisms. The ravenous symbiotes instills in its user a thirst for blood, which grows as it drinks from the life force of its wielder and their foes alike."
Runes of Knowledge,"A stone slab adorned with engimatic symbols, harkening to an era of ancient technology still shrouded  in obscurity. These same inscrutable runes are found etched on surfaces within the Tundra, beckoning those who dare to decipher their secrets."
Kendo Stick,Suitable for practice.
